Date,OperatingIncome,GrossProfit,SellingAndMarketingExpense,OperatingRevenue,TotalRevenue,SellingGeneralAndAdministration,TotalExpenses,EBIT,NetIncome,AccountsPayable,CashAndCashEquivalents,RetainedEarnings,Properties,Inventory,ShareIssued,AccountsReceivable,LongTermDebt,OrdinarySharesNumber,CommonStock,TotalCapitalization,Exchange,Buy_Close,Sale_Close,Year,COMPANY
2005-12-31,-2683200000.0,842300000.0,157700000.0,2975300000.0,2975300000.0,685500000.0,5658500000.0,-2683200000.0,-5900000.0,134600000.0,73600000.0,278100000.0,-1.0,44000000.0,133816584,-1.0,969100000.0,133816584,35900000.0,1796700000.0,NYSE,8.705,10.14,2005,ALK
2006-12-31,705900000.0,2220500000.0,169300000.0,3334400000.0,3334400000.0,1143100000.0,2628500000.0,-34500000.0,-52600000.0,90000000.0,230700000.0,206900000.0,-1.0,-1.0,161174756,-1.0,1031700000.0,161174756,42500000.0,1917200000.0,NYSE,94.875,5.97,2006,ALK
2007-12-31,1020800000.0,2617600000.0,160500000.0,3506000000.0,3506000000.0,1139200000.0,2485200000.0,317400000.0,125000000.0,101500000.0,204300000.0,331900000.0,574500000.0,46600000.0,152202720,-1.0,1124600000.0,152202720,42800000.0,2148600000.0,NYSE,51.475,51.475,2007,ALK
2008-12-31,614300000.0,2154000000.0,147100000.0,3662600000.0,3662600000.0,1112200000.0,3048300000.0,-134100000.0,-135900000.0,59600000.0,283100000.0,193400000.0,608600000.0,51900000.0,172764120,-1.0,1596300000.0,145178096,43200000.0,2258200000.0,NYSE,45.175,92.925,2008,ALK
2009-12-31,1021200000.0,2694800000.0,131800000.0,3399800000.0,3399800000.0,1231700000.0,2378600000.0,295800000.0,121600000.0,63300000.0,164200000.0,315000000.0,-1.0,45800000.0,143372368,-1.0,1699200000.0,142364032,35800000.0,2571300000.0,NYSE,102.225,142.325,2009,ALK
2010-12-31,1215000000.0,2866100000.0,153800000.0,3832300000.0,3832300000.0,1219900000.0,2617300000.0,514200000.0,251100000.0,60200000.0,89500000.0,566100000.0,-1.0,45100000.0,148040560,-1.0,1313000000.0,143695872,37000000.0,2418400000.0,NYSE,156.775,NA,2010,ALK
2011-12-31,487800000.0,2207700000.0,175300000.0,4317800000.0,4317800000.0,1237700000.0,3830000000.0,481000000.0,244500000.0,103600000.0,102200000.0,810600000.0,762300000.0,44300000.0,151466088,136400000.0,1099000000.0,141899100,37900000.0,2272200000.0,NYSE,17.82,NA,2011,ALK
2012-12-31,532000000.0,948000000.0,168000000.0,4141000000.0,4657000000.0,168000000.0,4125000000.0,560000000.0,316000000.0,65000000.0,122000000.0,1127000000.0,-1.0,58000000.0,140753086,130000000.0,871000000.0,140753086,70000000.0,2292000000.0,NYSE,NA,43.38,2012,ALK
2013-12-31,838000000.0,1295000000.0,179000000.0,4380000000.0,5156000000.0,179000000.0,4318000000.0,851000000.0,508000000.0,64000000.0,80000000.0,1607000000.0,-1.0,60000000.0,137533382,152000000.0,754000000.0,137491906,69000000.0,2783000000.0,NYSE,NA,NA,2013,ALK
2014-12-31,932000000.0,1439000000.0,199000000.0,4693000000.0,5368000000.0,199000000.0,4436000000.0,1003000000.0,605000000.0,62000000.0,107000000.0,2144000000.0,-1.0,58000000.0,131556573,259000000.0,686000000.0,131481473,1000000.0,2813000000.0,NYSE,64,77.945,2014,ALK
2015-12-31,1330000000.0,1897000000.0,211000000.0,4901000000.0,5598000000.0,211000000.0,4268000000.0,1320000000.0,848000000.0,63000000.0,73000000.0,2890000000.0,-1.0,51000000.0,128442099,212000000.0,571000000.0,125175325,1000000.0,2982000000.0,NYSE,NA,NA,2015,ALK
2016-12-31,1466000000.0,2056000000.0,225000000.0,5114000000.0,5931000000.0,225000000.0,4465000000.0,1375000000.0,814000000.0,92000000.0,328000000.0,3568000000.0,-1.0,47000000.0,129189634,302000000.0,2645000000.0,123328051,1000000.0,5576000000.0,NYSE,NA,NA,2016,ALK
2017-12-31,1378000000.0,2300000000.0,357000000.0,6932000000.0,7933000000.0,357000000.0,6555000000.0,1293000000.0,1034000000.0,120000000.0,194000000.0,4454000000.0,-1.0,57000000.0,129903498,341000000.0,2262000000.0,123060638,1000000.0,5983000000.0,NYSE,57.75,NA,2017,ALK
2018-12-31,775000000.0,1673000000.0,326000000.0,7632000000.0,8264000000.0,326000000.0,7489000000.0,658000000.0,437000000.0,132000000.0,105000000.0,4534000000.0,-1.0,60000000.0,130813476,366000000.0,1617000000.0,123194430,1000000.0,5368000000.0,NYSE,57.32,NA,2018,ALK
2019-12-31,1107000000.0,1979000000.0,313000000.0,8095000000.0,8781000000.0,313000000.0,7674000000.0,1079000000.0,769000000.0,146000000.0,221000000.0,5133000000.0,-1.0,72000000.0,131812173,323000000.0,1264000000.0,123000307,1000000.0,5595000000.0,NYSE,26.35,NA,2019,ALK
2020-12-31,-922000000.0,-414000000.0,101000000.0,3019000000.0,3566000000.0,101000000.0,4488000000.0,-1753000000.0,-1324000000.0,108000000.0,1370000000.0,3764000000.0,-1.0,57000000.0,133567534,480000000.0,2357000000.0,124217590,1000000.0,5345000000.0,NYSE,NA,0,2020,ALK
1985-12-31,4067800000.0,-1.0,NA,4067800000.0,4067800000.0,NA,-1.0,4067800000.0,464400000.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYSE,-1,0,1985,CNP
1986-12-31,3536000000.0,-1.0,NA,3536000000.0,3536000000.0,NA,-1.0,3536000000.0,424900000.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYSE,-1,0,1986,CNP
1987-12-31,3628200000.0,-1.0,NA,3628200000.0,3628200000.0,NA,-1.0,3628200000.0,435000000.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYSE,-1,0,1987,CNP
1988-12-31,3649500000.0,-1.0,NA,3649500000.0,3649500000.0,NA,-1.0,3649500000.0,395300000.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYSE,-1,0,1988,CNP
1989-12-31,3789800000.0,-1.0,NA,3789800000.0,3789800000.0,NA,-1.0,3789800000.0,413500000.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYSE,-1,0,1989,CNP
1990-12-31,4178600000.0,-1.0,NA,4178600000.0,4178600000.0,NA,-1.0,4178600000.0,339500000.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYSE,-1,0,1990,CNP
1991-12-31,4443700000.0,-1.0,NA,4443700000.0,4443700000.0,NA,-1.0,4443700000.0,417400000.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYSE,-1,0,1991,CNP
1992-12-31,4596400000.0,-1.0,NA,4596400000.0,4596400000.0,NA,-1.0,4596400000.0,434700000.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYSE,-1,0,1992,CNP
1993-12-31,4323900000.0,-1.0,NA,4323900000.0,4323900000.0,NA,-1.0,4323900000.0,416000000.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NYSE,-1,0,1993,CNP
1994-12-31,1012000000.0,2732000000.0,NA,4001900000.0,4001900000.0,NA,2989900000.0,1012000000.0,399300000.0,332900000.0,10400000.0,1221200000.0,NA,214700000.0,246822000,36400000.0,4222900000.0,246822000,2437600000.0,8065400000.0,NYSE,-1,0,1994,CNP
1995-12-31,905000000.0,2617600000.0,NA,3730200000.0,3730200000.0,NA,2825200000.0,905000000.0,1105500000.0,136000000.0,11800000.0,2326700000.0,NA,197700000.0,262672000,49900000.0,3338400000.0,262672000,0.0,7864400000.0,NYSE,-1,0,1995,CNP
1996-12-31,895500000.0,2748100000.0,NA,4095300000.0,4095300000.0,NA,3199800000.0,895500000.0,404900000.0,157700000.0,8000000.0,1997500000.0,NA,192200000.0,246706000,46600000.0,3025700000.0,246706000,2446800000.0,6988900000.0,NYSE,-1,NA,1996,CNP
1997-12-31,999400000.0,3355100000.0,NA,6873400000.0,6873400000.0,NA,5874000000.0,999400000.0,421100000.0,879600000.0,51700000.0,2013100000.0,NA,244900000.0,295264000,973300000.0,5580200000.0,295264000,3112100000.0,10476700000.0,NYSE,NA,NA,1997,CNP
1998-12-31,301200000.0,4488700000.0,NA,11488500000.0,11488500000.0,NA,11187300000.0,301200000.0,-141100000.0,808000000.0,29700000.0,1445100000.0,NA,383800000.0,296168000,736700000.0,7143000000.0,296168000,3136800000.0,11464800000.0,NYSE,NA,NA,1998,CNP
1999-12-31,3063500000.0,4417200000.0,NA,15302800000.0,15302800000.0,NA,12239300000.0,3063500000.0,1849000000.0,1036800000.0,89100000.0,2500200000.0,NA,340500000.0,293987000,1104600000.0,4961300000.0,293987000,3182800000.0,10267600000.0,NYSE,19.389,NA,1999,CNP
2000-12-31,1879134000.0,5639730000.0,NA,29339384000.0,29339384000.0,NA,27460250000.0,1879134000.0,447500000.0,3077926000.0,175972000.0,2520350000.0,NA,483213000.0,295103000,2623492000.0,4996095000.0,295103000,3257190000.0,10478155000.0,NYSE,NA,190.518,2000,CNP
2001-12-31,1989118000.0,6177577000.0,NA,46225837000.0,46225837000.0,NA,44236719000.0,1989118000.0,980559000.0,1439840000.0,135674000.0,3176533000.0,NA,579673000.0,302944000,1922708000.0,5741944000.0,302944000,3897301000.0,12600117000.0,NYSE,NA,NA,2001,CNP
2002-12-31,1329436000.0,3932384000.0,NA,7922498000.0,7922498000.0,NA,6593062000.0,1329436000.0,-3920234000.0,623457000.0,311710000.0,-1062083000.0,NA,351816000.0,305017000,562977000.0,9194320000.0,305017000,3050000.0,10616270000.0,NYSE,7.43,11.06,2002,CNP
2003-12-31,1604164000.0,4320217000.0,NA,9760124000.0,9760124000.0,NA,8155960000.0,1604164000.0,483667000.0,694558000.0,131480000.0,-700033000.0,NA,412926000.0,306297000,636646000.0,10783064000.0,306297000,3063000.0,12543621000.0,NYSE,11.76,12.46,2003,CNP
2004-12-31,1090119000.0,2985977000.0,NA,8510428000.0,8510428000.0,NA,7420309000.0,1090119000.0,-904704000.0,868023000.0,164645000.0,-1727571000.0,NA,252134000.0,308045000,741715000.0,7193016000.0,308045000,3080000.0,8298518000.0,NYSE,11.94,13.38,2004,CNP
2005-12-31,1060000000.0,3213000000.0,NA,9722000000.0,9722000000.0,NA,8662000000.0,1060000000.0,252000000.0,1161000000.0,74000000.0,-1600000000.0,NA,382000000.0,310849323,1098000000.0,8568000000.0,310849323,3000000.0,9864000000.0,NYSE,12.04,NA,2005,CNP
2006-12-31,1045000000.0,3410000000.0,NA,9319000000.0,9319000000.0,NA,8274000000.0,1045000000.0,432000000.0,1010000000.0,127000000.0,-1355000000.0,NA,399000000.0,314000000,1017000000.0,7802000000.0,314000000,3000000.0,9358000000.0,NYSE,18.42,15.203,2006,CNP
2007-12-31,1217000000.0,3628000000.0,NA,9623000000.0,9623000000.0,NA,8406000000.0,1217000000.0,399000000.0,726000000.0,129000000.0,-1172000000.0,NA,490000000.0,323000000,910000000.0,8364000000.0,323000000,3000000.0,10174000000.0,NYSE,14.66,10.379,2007,CNP
2008-12-31,1273000000.0,3856000000.0,NA,11322000000.0,11322000000.0,NA,10049000000.0,1273000000.0,447000000.0,897000000.0,167000000.0,-970000000.0,NA,569000000.0,342967485,1009000000.0,833000000.0,342967485,3000000.0,2870000000.0,NYSE,10.28,14.365,2008,CNP
2009-12-31,1124000000.0,3910000000.0,NA,8281000000.0,8281000000.0,NA,7157000000.0,1192000000.0,372000000.0,648000000.0,740000000.0,-912000000.0,NA,327000000.0,391000000,790000000.0,9119000000.0,391000000,4000000.0,11758000000.0,NYSE,14.5,NA,2009,CNP
2010-12-31,1249000000.0,4211000000.0,NA,8785000000.0,8785000000.0,NA,7536000000.0,1326000000.0,442000000.0,667000000.0,199000000.0,-789000000.0,NA,375000000.0,425000000,835000000.0,9001000000.0,425000000,4000000.0,12199000000.0,NYSE,17.75,NA,2010,CNP
2011-12-31,1298000000.0,4395000000.0,NA,8450000000.0,8450000000.0,NA,7152000000.0,1757000000.0,1357000000.0,560000000.0,220000000.0,231000000.0,NA,353000000.0,426000000,773000000.0,8641000000.0,426000000,4000000.0,12863000000.0,NYSE,NA,NA,2011,CNP
2012-12-31,1290000000.0,2705000000.0,NA,7452000000.0,7452000000.0,NA,6162000000.0,1326000000.0,417000000.0,561000000.0,646000000.0,302000000.0,NA,322000000.0,428000000,768000000.0,8357000000.0,428000000,4000000.0,12658000000.0,NYSE,NA,NA,2012,CNP
2013-12-31,1010000000.0,2351000000.0,NA,8106000000.0,8106000000.0,NA,7096000000.0,1265000000.0,311000000.0,689000000.0,208000000.0,258000000.0,NA,285000000.0,429000000,851000000.0,7817000000.0,429000000,4000000.0,12146000000.0,NYSE,23.82,NA,2013,CNP
2014-12-31,935000000.0,2336000000.0,NA,9226000000.0,9226000000.0,NA,8291000000.0,1356000000.0,611000000.0,716000000.0,298000000.0,461000000.0,NA,379000000.0,430000000,837000000.0,8009000000.0,430000000,4000000.0,12557000000.0,NYSE,NA,19.672,2014,CNP
2015-12-31,933000000.0,2277000000.0,NA,7386000000.0,7386000000.0,NA,6453000000.0,-673000000.0,-692000000.0,483000000.0,264000000.0,-657000000.0,NA,347000000.0,430000000,593000000.0,7901000000.0,430000000,4000000.0,11362000000.0,NYSE,NA,NA,2015,CNP
2016-12-31,959000000.0,2469000000.0,NA,7528000000.0,7528000000.0,NA,6569000000.0,1115000000.0,432000000.0,657000000.0,341000000.0,-668000000.0,NA,312000000.0,430682670,740000000.0,7532000000.0,430682504,4000000.0,10992000000.0,NYSE,NA,NA,2016,CNP
2017-12-31,1072000000.0,2499000000.0,NA,9614000000.0,9614000000.0,NA,8542000000.0,1453000000.0,1792000000.0,963000000.0,260000000.0,543000000.0,NA,397000000.0,431044845,1000000000.0,8195000000.0,431044845,4000000.0,12883000000.0,NYSE,26.98,NA,2017,CNP
2018-12-31,831000000.0,2480000000.0,NA,10589000000.0,10589000000.0,NA,9758000000.0,934000000.0,368000000.0,1240000000.0,4231000000.0,349000000.0,NA,394000000.0,501197784,1190000000.0,8682000000.0,501197784,5000000.0,16740000000.0,NYSE,NA,24.904,2018,CNP
2019-12-31,1274000000.0,3039000000.0,NA,12301000000.0,12301000000.0,NA,11027000000.0,1496000000.0,791000000.0,1138000000.0,241000000.0,632000000.0,NA,546000000.0,502242061,1249000000.0,14244000000.0,502242061,5000000.0,22603000000.0,NYSE,14.12,20.21,2019,CNP
2020-12-31,1224000000.0,2929000000.0,NA,7418000000.0,7418000000.0,NA,6194000000.0,-336000000.0,-773000000.0,853000000.0,147000000.0,-845000000.0,NA,500000000.0,551355861,676000000.0,11521000000.0,551355861,6000000.0,19869000000.0,NYSE,22.65,0.32,2020,CNP
1985-12-31,61100000.0,676700000.0,NA,666700000.0,666700000.0,605600000.0,605600000.0,61100000.0,36600000.0,-1.0,112600000.0,159100000.0,-1.0,NA,196162000,-1.0,8600000.0,196162000,-1.0,216400000.0,NYSE,-1,0,1985,IPG
